userId,imdbId,rating
1,0112792,2.5
1,0033563,3.0
1,0117665,3.0
1,0082340,2.0
1,0095765,4.0
1,0077416,2.0
1,0052618,2.0
1,0083987,2.0
1,0103874,3.5
1,0101540,2.0
1,0079945,2.5
1,0115641,1.0
1,0067116,4.0
1,0084827,4.0
1,0080801,3.0
1,0096446,2.0
1,0120587,2.0
1,0091064,2.5
1,0081633,1.0
1,0071230,3.0
2,0113189,4.0
2,0114388,5.0
2,0112697,5.0
2,0114369,4.0
2,0114814,4.0
2,0113819,3.0
2,0113862,3.0
2,0112573,4.0
2,0112585,3.0
2,0112384,5.0
2,0112462,4.0
2,0112740,3.0
2,0112864,3.0
2,0113071,3.0
2,0113957,3.0
2,0113986,3.0
2,0114898,3.0
2,0112679,5.0
2,0109445,1.0
2,0109635,3.0
2,0109707,3.0
2,0110066,3.0
2,0110148,4.0
2,0110367,4.0
2,0103994,5.0
2,0110322,5.0
2,0110428,3.0
2,0109836,4.0
2,0114069,3.0
2,0110912,4.0
2,0110932,3.0
2,0111112,4.0
2,0111070,2.0
2,0111149,1.0
2,0114924,3.0
2,0109444,4.0
2,0109446,4.0
2,0109830,3.0
2,0109831,3.0
2,0110357,3.0
2,0110475,3.0
2,0110622,2.0
2,0110771,3.0
2,0110950,3.0
2,0111257,3.0
2,0111742,3.0
2,0110027,2.0
2,0106220,3.0
2,0106918,4.0
2,0106977,3.0
2,0112966,4.0
2,0107206,2.0
2,0107290,4.0
2,0107362,3.0
2,0107616,3.0
2,0107614,4.0
2,0107818,4.0
2,0107822,4.0
2,0107943,4.0
2,0108052,4.0
2,0111201,4.0
2,0108160,3.0
2,0111418,3.0
2,0107688,5.0
2,0108333,3.0
2,0112572,5.0
2,0099785,3.0
2,0099653,3.0
2,0103639,3.0
2,0103064,5.0
2,0099348,5.0
2,0096895,5.0
2,0102926,3.0
2,0065421,3.0
2,0116683,4.0
2,0118114,4.0
3,0113419,3.0
3,0112573,4.0
3,0110005,3.5
3,0110443,3.0
3,0110912,4.5
3,0111161,5.0
3,0109813,2.5
3,0109830,5.0
3,0111257,2.5
3,0108052,3.0
3,0103639,3.0
3,0096895,3.0
3,0102926,3.0
3,0101414,2.0
3,0117998,3.5
3,0117951,4.0
3,0115736,3.0
3,0093779,5.0
3,0086190,3.0
3,0067185,4.0
3,0101921,3.0
3,0096487,4.0
3,0119654,3.5
3,0120338,4.5
3,0120669,4.0
3,0120815,4.0
3,0147612,4.0
3,0098084,3.0
3,0142342,3.0
3,0162677,3.5
3,0087332,3.0
3,0167404,3.5
3,0164181,4.0
3,0169547,4.0
3,0137523,5.0
3,0104187,3.0
