movieId,imdbId
1,0114709
2,0113497
3,0113228
4,0114885
5,0113041
6,0113277
7,0114319
8,0112302
9,0114576
10,0113189
11,0112346
12,0112896
13,0112453
14,0113987
15,0112760
16,0112641
17,0114388
18,0113101
19,0112281
20,0113845
21,0113161
22,0112722
23,0112401
24,0114168
25,0113627
26,0114057
27,0114011
28,0114117
29,0112682
30,0115012
31,0112792
32,0114746
34,0112431
35,0112637
36,0112818
37,0112286
38,0113442
39,0112697
40,0112749
41,0114279
42,0112819
43,0114272
44,0113855
45,0114681
46,0113347
47,0114369
48,0114148
49,0114916
50,0114814
52,0113819
53,0110299
54,0112499
55,0113158
57,0113321
58,0110877
59,0112714
60,0113419
61,0116260
62,0113862
63,0116126
64,0118002
65,0115683
66,0116839
68,0113149
69,0113118
70,0116367
71,0113010
72,0113537
73,0113828
74,0115644
76,0114367
77,0113973
78,0112744
79,0116731
80,0112445
81,0114660
82,0112379
83,0114039
84,0113612
85,0112365
86,0118158
87,0116151
88,0115697
89,0113972
92,0117002
93,0114825
94,0115639
95,0115759
96,0113403
97,0113247
98,0111173
99,0113283
100,0115907
101,0115734
102,0117102
103,0118040
104,0116483
105,0112579
107,0117110
108,0112646
110,0112573
111,0075314
112,0113326
113,0115645
114,0113774
116,0112373
117,0115033
118,0116606
119,0114536
121,0106473
122,0103859
123,0109424
124,0114808
125,0116324
126,0110647
129,0114131
130,0112364
131,0113107
132,0113451
135,0116130
137,0113756
140,0118055
141,0115685
144,0112585
145,0112442
146,0112342
147,0112461
148,0112427
149,0109093
150,0112384
151,0114287
152,0112288
153,0112462
154,0061395
155,0112495
156,0112541
157,0109370
158,0112642
159,0112688
160,0112715
161,0112740
162,0109508
163,0112851
164,0112857
165,0112864
166,0112887
167,0113044
168,0113071
169,0113114
170,0113243
171,0113464
172,0113481
173,0113492
174,0113500
175,0113540
176,0113677
177,0113690
178,0107447
179,0113729
180,0113749
181,0113820
183,0110604
184,0110620
185,0113957
186,0113986
187,0114095
188,0114194
189,0114241
190,0114323
191,0114345
193,0114436
194,0114478
195,0114496
